processed,raw,similarity,ticker,totalEsg
T. Rowe Price,T. Rowe Price Group,0.8125,TROW,23.38
"Tapestry,","Tapestry, Inc.",0.782608695652174,TPR,14.55
Target,Target Corp.,0.6666666666666666,TGT,15.35
TE Connectivity,TE Connectivity Ltd.,0.8571428571428571,TEL,9.13
Teleflex,Teleflex,1.0,TFX,28.94
Texas Instruments,Texas Instruments,1.0,TXN,17.46
Textron,Textron Inc.,0.7368421052631579,TXT,37.78
Thermo Fisher Scientific,Thermo Fisher Scientific,1.0,TMO,18.16
Tiffany &,Tiffany & Co.,0.8181818181818182,TIF,15.85
TJX Companies,TJX Companies Inc.,0.8387096774193549,TJX,14.54
Tractor Supply,Tractor Supply Company,0.7777777777777778,TSCO,15.66
Trane Technologies,Trane Technologies plc,0.9,TT,20.24
TransDigm,TransDigm Group,0.75,TDG,40.9
The Travelers Companies,The Travelers Companies Inc.,0.9019607843137255,TRV,22.22
Truist Financial,Truist Financial,1.0,TFC,25.42
"Twitter,","Twitter, Inc.",0.7619047619047619,TWTR,23.79
Tyson Foods,Tyson Foods,1.0,TSN,43.73
Ulta Beauty,Ulta Beauty,1.0,ULTA,16.61
U.S. Bancorp,U.S. Bancorp,1.0,USB,27.04
Under Armour,Under Armour (Class A),0.7058823529411765,UAA,16.21
Union Pacific,Union Pacific Corp,0.8387096774193549,UNP,20.87
United Airlines,United Airlines Holdings,0.7692307692307693,UAL,31.32
United Health,United Health Group Inc.,0.7027027027027027,UNH,20.79
United Parcel Service,United Parcel Service,1.0,UPS,21.34
"United Rentals,","United Rentals, Inc.",0.8571428571428571,URI,19.28
Universal Health Services,Universal Health Services,1.0,UHS,34.06
Unum,Unum Group,0.5714285714285714,UNM,24.53
VF,VF Corporation,0.25,VFC,11.6
Valero Energy,Valero Energy,1.0,VLO,37.24
Verisk Analytics,Verisk Analytics,1.0,VRSK,21.12
Verizon Communications,Verizon Communications,1.0,VZ,20.22
Vertex Pharmaceuticals,Vertex Pharmaceuticals Inc,0.9166666666666666,VRTX,25.02
ViacomCBS,ViacomCBS,1.0,VIAC,18.9
Visa,Visa Inc.,0.6153846153846154,V,17.34
Vornado Realty Trust,Vornado Realty Trust,1.0,VNO,16.92
Vulcan Materials,Vulcan Materials,1.0,VMC,33.25
W. R. Berkley,W. R. Berkley Corporation,0.6842105263157895,WRB,27.28
Wabtec,Wabtec Corporation,0.5,WAB,29.24
Walmart,Walmart,1.0,WMT,28.39
Walgreens Boots Alliance,Walgreens Boots Alliance,1.0,WBA,17.67
